Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-06 00:00:00-05:00,59.6273785675588,60.34772044863788,59.31459972960595,60.09181213378906,9990000,0.0,0.0
2023-01-09 00:00:00-05:00,59.99702757837789,60.395114006486786,59.31459938335189,59.34303283691406,9442600,0.0,0.0
2023-01-10 00:00:00-05:00,59.33354986860196,59.45676752109401,58.68903176954017,58.88807678222656,10134600,0.0,0.0
2023-01-11 00:00:00-05:00,59.12503389807472,59.29564184874726,58.205647010078,58.77433776855469,10823000,0.0,0.0
2023-01-12 00:00:00-05:00,58.8691263958342,58.93547353545393,57.78861170414375,58.01608657836914,13907300,0.0,0.0
2023-01-13 00:00:00-05:00,57.532700894135836,58.253042830927235,57.42844006820529,58.224609375,13986400,0.0,0.0
2023-01-17 00:00:00-05:00,58.50894958987755,59.1250342617229,58.347821866388955,58.4615592956543,18327800,0.0,0.0
2023-01-18 00:00:00-05:00,58.30042820959825,58.37625557320277,56.565918847093464,56.68913650512695,19679400,0.0,0.0
2023-01-19 00:00:00-05:00,56.61330504211629,57.47582135459996,56.59434820258784,56.60382843017578,14894500,0.0,0.0
2023-01-20 00:00:00-05:00,56.60383337585813,56.95452589865718,56.30053114819716,56.94504928588867,14237700,0.0,0.0
2023-01-23 00:00:00-05:00,57.13460571478079,57.409474465628726,56.916607482757506,57.087215423583984,12613400,0.0,0.0
2023-01-24 00:00:00-05:00,56.94504889317081,58.622687746504965,56.6796567340619,57.39052200317383,10103300,0.0,0.0
2023-01-25 00:00:00-05:00,57.0587858525594,57.760170887527224,56.764960242120196,57.750694274902344,11265800,0.0,0.0
2023-01-26 00:00:00-05:00,57.63695526123047,57.91182040757087,57.40947679235994,57.63695526123047,11884800,0.0,0.0
2023-01-27 00:00:00-05:00,57.665384323855235,57.77912174180777,57.21990764804076,57.333648681640625,14087000,0.0,0.0
2023-01-30 00:00:00-05:00,57.381045673338,57.978169899069265,57.30521830874802,57.475826263427734,15632000,0.0,0.0
2023-01-31 00:00:00-05:00,57.79808319832127,58.13929909508648,57.35260648691696,58.12034225463867,14344400,0.0,0.0
2023-02-01 00:00:00-05:00,57.949733603098615,58.366776856594655,57.456866604379016,58.12982177734375,12535400,0.0,0.0
2023-02-02 00:00:00-05:00,57.62747623554163,57.83599786838618,56.78391670724892,57.13460922241211,16947200,0.0,0.0
2023-02-03 00:00:00-05:00,57.200951274832185,57.267298403815296,56.139393595455005,56.70808792114258,15404400,0.0,0.0
2023-02-06 00:00:00-05:00,56.67017680474322,57.19147724845338,56.60382967276089,57.03034591674805,11330900,0.0,0.0
2023-02-07 00:00:00-05:00,56.556432587493234,57.09669345644134,56.43321855824731,56.93556213378906,14922700,0.0,0.0
2023-02-08 00:00:00-05:00,56.79338959416543,56.79338959416543,56.48061078106456,56.60382843017578,11012000,0.0,0.0
2023-02-09 00:00:00-05:00,57.011395707897286,57.17252343247747,56.4900916209668,56.50904846191406,12515300,0.0,0.0
2023-02-10 00:00:00-05:00,56.60383266665038,56.77444061952805,55.80766342510385,56.50904846191406,14420700,0.0,0.0
2023-02-13 00:00:00-05:00,56.774433090973844,57.589555449730916,56.61330177211272,57.437904357910156,16191800,0.0,0.0
2023-02-14 00:00:00-05:00,57.068253592972674,57.72225184749344,56.452172629999666,56.48060607910156,20505700,0.0,0.0
2023-02-15 00:00:00-05:00,56.77443164386069,56.802865092962584,56.13939022729023,56.48060607910156,13171400,0.0,0.0
2023-02-16 00:00:00-05:00,56.139397571864045,56.69861170979381,55.87400903713386,56.129920959472656,16538300,0.0,0.0
2023-02-17 00:00:00-05:00,56.39530835374934,57.087216745052096,56.28157092911469,56.98295593261719,16814700,0.0,0.0
2023-02-21 00:00:00-05:00,56.859741338582865,57.08721618562302,56.60382942392706,56.67965316772461,14278300,0.0,0.0
2023-02-22 00:00:00-05:00,56.72704022927723,57.21043057909441,56.632259651015616,56.850257873535156,12409600,0.0,0.0
